Date,Destination,Night Price($),Destination_ID,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
2024-01-13,Los Angeles,320,0,229.0,271.0,234.0,244.0,233.0,267.0,224.0,181.0,205.0,228.0,205.0,273.0
2024-01-14,Los Angeles,327,0,320.0,229.0,271.0,234.0,244.0,233.0,267.0,224.0,181.0,205.0,228.0,205.0
2024-01-15,Los Angeles,266,0,327.0,320.0,229.0,271.0,234.0,244.0,233.0,267.0,224.0,181.0,205.0,228.0
2024-01-16,Los Angeles,265,0,266.0,327.0,320.0,229.0,271.0,234.0,244.0,233.0,267.0,224.0,181.0,205.0
2024-01-17,Los Angeles,222,0,265.0,266.0,327.0,320.0,229.0,271.0,234.0,244.0,233.0,267.0,224.0,181.0
2024-01-18,Los Angeles,202,0,222.0,265.0,266.0,327.0,320.0,229.0,271.0,234.0,244.0,233.0,267.0,224.0
2024-01-19,Los Angeles,223,0,202.0,222.0,265.0,266.0,327.0,320.0,229.0,271.0,234.0,244.0,233.0,267.0
2024-01-20,Los Angeles,281,0,223.0,202.0,222.0,265.0,266.0,327.0,320.0,229.0,271.0,234.0,244.0,233.0
2024-01-21,Los Angeles,325,0,281.0,223.0,202.0,222.0,265.0,266.0,327.0,320.0,229.0,271.0,234.0,244.0
2024-01-22,Los Angeles,272,0,325.0,281.0,223.0,202.0,222.0,265.0,266.0,327.0,320.0,229.0,271.0,234.0
2024-01-23,Los Angeles,210,0,272.0,325.0,281.0,223.0,202.0,222.0,265.0,266.0,327.0,320.0,229.0,271.0
2024-01-24,Los Angeles,252,0,210.0,272.0,325.0,281.0,223.0,202.0,222.0,265.0,266.0,327.0,320.0,229.0
2024-01-25,Los Angeles,226,0,252.0,210.0,272.0,325.0,281.0,223.0,202.0,222.0,265.0,266.0,327.0,320.0
2024-01-26,Los Angeles,256,0,226.0,252.0,210.0,272.0,325.0,281.0,223.0,202.0,222.0,265.0,266.0,327.0
2024-01-27,Los Angeles,327,0,256.0,226.0,252.0,210.0,272.0,325.0,281.0,223.0,202.0,222.0,265.0,266.0
2024-01-28,Los Angeles,274,0,327.0,256.0,226.0,252.0,210.0,272.0,325.0,281.0,223.0,202.0,222.0,265.0
2024-01-29,Los Angeles,198,0,274.0,327.0,256.0,226.0,252.0,210.0,272.0,325.0,281.0,223.0,202.0,222.0
2024-01-30,Los Angeles,268,0,198.0,274.0,327.0,256.0,226.0,252.0,210.0,272.0,325.0,281.0,223.0,202.0
2024-01-31,Los Angeles,279,0,268.0,198.0,274.0,327.0,256.0,226.0,252.0,210.0,272.0,325.0,281.0,223.0
2024-01-01,San Francisco,228,1,279.0,268.0,198.0,274.0,327.0,256.0,226.0,252.0,210.0,272.0,325.0,281.0
2024-01-02,San Francisco,231,1,228.0,279.0,268.0,198.0,274.0,327.0,256.0,226.0,252.0,210.0,272.0,325.0
2024-01-03,San Francisco,178,1,231.0,228.0,279.0,268.0,198.0,274.0,327.0,256.0,226.0,252.0,210.0,272.0
2024-01-04,San Francisco,189,1,178.0,231.0,228.0,279.0,268.0,198.0,274.0,327.0,256.0,226.0,252.0,210.0
2024-01-05,San Francisco,220,1,189.0,178.0,231.0,228.0,279.0,268.0,198.0,274.0,327.0,256.0,226.0,252.0
2024-01-06,San Francisco,274,1,220.0,189.0,178.0,231.0,228.0,279.0,268.0,198.0,274.0,327.0,256.0,226.0
2024-01-07,San Francisco,260,1,274.0,220.0,189.0,178.0,231.0,228.0,279.0,268.0,198.0,274.0,327.0,256.0
2024-01-08,San Francisco,196,1,260.0,274.0,220.0,189.0,178.0,231.0,228.0,279.0,268.0,198.0,274.0,327.0
2024-01-09,San Francisco,190,1,196.0,260.0,274.0,220.0,189.0,178.0,231.0,228.0,279.0,268.0,198.0,274.0
2024-01-10,San Francisco,187,1,190.0,196.0,260.0,274.0,220.0,189.0,178.0,231.0,228.0,279.0,268.0,198.0
2024-01-11,San Francisco,213,1,187.0,190.0,196.0,260.0,274.0,220.0,189.0,178.0,231.0,228.0,279.0,268.0
2024-01-12,San Francisco,235,1,213.0,187.0,190.0,196.0,260.0,274.0,220.0,189.0,178.0,231.0,228.0,279.0
2024-01-13,San Francisco,236,1,235.0,213.0,187.0,190.0,196.0,260.0,274.0,220.0,189.0,178.0,231.0,228.0
2024-01-14,San Francisco,209,1,236.0,235.0,213.0,187.0,190.0,196.0,260.0,274.0,220.0,189.0,178.0,231.0
2024-01-15,San Francisco,171,1,209.0,236.0,235.0,213.0,187.0,190.0,196.0,260.0,274.0,220.0,189.0,178.0
2024-01-16,San Francisco,207,1,171.0,209.0,236.0,235.0,213.0,187.0,190.0,196.0,260.0,274.0,220.0,189.0
2024-01-17,San Francisco,206,1,207.0,171.0,209.0,236.0,235.0,213.0,187.0,190.0,196.0,260.0,274.0,220.0
2024-01-18,San Francisco,206,1,206.0,207.0,171.0,209.0,236.0,235.0,213.0,187.0,190.0,196.0,260.0,274.0
2024-01-19,San Francisco,220,1,206.0,206.0,207.0,171.0,209.0,236.0,235.0,213.0,187.0,190.0,196.0,260.0
2024-01-20,San Francisco,239,1,220.0,206.0,206.0,207.0,171.0,209.0,236.0,235.0,213.0,187.0,190.0,196.0
2024-01-21,San Francisco,237,1,239.0,220.0,206.0,206.0,207.0,171.0,209.0,236.0,235.0,213.0,187.0,190.0
2024-01-22,San Francisco,185,1,237.0,239.0,220.0,206.0,206.0,207.0,171.0,209.0,236.0,235.0,213.0,187.0
2024-01-23,San Francisco,215,1,185.0,237.0,239.0,220.0,206.0,206.0,207.0,171.0,209.0,236.0,235.0,213.0
2024-01-24,San Francisco,158,1,215.0,185.0,237.0,239.0,220.0,206.0,206.0,207.0,171.0,209.0,236.0,235.0
2024-01-25,San Francisco,199,1,158.0,215.0,185.0,237.0,239.0,220.0,206.0,206.0,207.0,171.0,209.0,236.0
2024-01-26,San Francisco,165,1,199.0,158.0,215.0,185.0,237.0,239.0,220.0,206.0,206.0,207.0,171.0,209.0
2024-01-27,San Francisco,240,1,165.0,199.0,158.0,215.0,185.0,237.0,239.0,220.0,206.0,206.0,207.0,171.0
2024-01-28,San Francisco,277,1,240.0,165.0,199.0,158.0,215.0,185.0,237.0,239.0,220.0,206.0,206.0,207.0
2024-01-29,San Francisco,202,1,277.0,240.0,165.0,199.0,158.0,215.0,185.0,237.0,239.0,220.0,206.0,206.0
2024-01-30,San Francisco,205,1,202.0,277.0,240.0,165.0,199.0,158.0,215.0,185.0,237.0,239.0,220.0,206.0
2024-01-31,San Francisco,177,1,205.0,202.0,277.0,240.0,165.0,199.0,158.0,215.0,185.0,237.0,239.0,220.0
2024-03-01,Los Angeles,185,0,177.0,205.0,202.0,277.0,240.0,165.0,199.0,158.0,215.0,185.0,237.0,239.0
2024-03-02,Los Angeles,219,0,185.0,177.0,205.0,202.0,277.0,240.0,165.0,199.0,158.0,215.0,185.0,237.0
2024-03-03,Los Angeles,277,0,219.0,185.0,177.0,205.0,202.0,277.0,240.0,165.0,199.0,158.0,215.0,185.0
2024-03-04,Los Angeles,277,0,277.0,219.0,185.0,177.0,205.0,202.0,277.0,240.0,165.0,199.0,158.0,215.0
2024-03-05,Los Angeles,177,0,277.0,277.0,219.0,185.0,177.0,205.0,202.0,277.0,240.0,165.0,199.0,158.0
2024-03-06,Los Angeles,213,0,177.0,277.0,277.0,219.0,185.0,177.0,205.0,202.0,277.0,240.0,165.0,199.0
2024-03-07,Los Angeles,218,0,213.0,177.0,277.0,277.0,219.0,185.0,177.0,205.0,202.0,277.0,240.0,165.0
2024-03-08,Los Angeles,187,0,218.0,213.0,177.0,277.0,277.0,219.0,185.0,177.0,205.0,202.0,277.0,240.0
2024-03-09,Los Angeles,241,0,187.0,218.0,213.0,177.0,277.0,277.0,219.0,185.0,177.0,205.0,202.0,277.0
2024-03-10,Los Angeles,258,0,241.0,187.0,218.0,213.0,177.0,277.0,277.0,219.0,185.0,177.0,205.0,202.0
2024-03-11,Los Angeles,245,0,258.0,241.0,187.0,218.0,213.0,177.0,277.0,277.0,219.0,185.0,177.0,205.0
2024-03-12,Los Angeles,243,0,245.0,258.0,241.0,187.0,218.0,213.0,177.0,277.0,277.0,219.0,185.0,177.0
2024-03-13,Los Angeles,223,0,243.0,245.0,258.0,241.0,187.0,218.0,213.0,177.0,277.0,277.0,219.0,185.0
2024-03-14,Los Angeles,265,0,223.0,243.0,245.0,258.0,241.0,187.0,218.0,213.0,177.0,277.0,277.0,219.0
2024-03-15,Los Angeles,227,0,265.0,223.0,243.0,245.0,258.0,241.0,187.0,218.0,213.0,177.0,277.0,277.0
2024-03-16,Los Angeles,251,0,227.0,265.0,223.0,243.0,245.0,258.0,241.0,187.0,218.0,213.0,177.0,277.0
2024-03-17,Los Angeles,264,0,251.0,227.0,265.0,223.0,243.0,245.0,258.0,241.0,187.0,218.0,213.0,177.0
2024-03-18,Los Angeles,219,0,264.0,251.0,227.0,265.0,223.0,243.0,245.0,258.0,241.0,187.0,218.0,213.0
2024-03-19,Los Angeles,197,0,219.0,264.0,251.0,227.0,265.0,223.0,243.0,245.0,258.0,241.0,187.0,218.0
2024-03-20,Los Angeles,217,0,197.0,219.0,264.0,251.0,227.0,265.0,223.0,243.0,245.0,258.0,241.0,187.0
2024-03-21,Los Angeles,207,0,217.0,197.0,219.0,264.0,251.0,227.0,265.0,223.0,243.0,245.0,258.0,241.0
2024-03-22,Los Angeles,211,0,207.0,217.0,197.0,219.0,264.0,251.0,227.0,265.0,223.0,243.0,245.0,258.0
2024-03-23,Los Angeles,263,0,211.0,207.0,217.0,197.0,219.0,264.0,251.0,227.0,265.0,223.0,243.0,245.0
2024-03-24,Los Angeles,185,0,263.0,211.0,207.0,217.0,197.0,219.0,264.0,251.0,227.0,265.0,223.0,243.0
2024-03-25,Los Angeles,234,0,185.0,263.0,211.0,207.0,217.0,197.0,219.0,264.0,251.0,227.0,265.0,223.0
2024-03-26,Los Angeles,205,0,234.0,185.0,263.0,211.0,207.0,217.0,197.0,219.0,264.0,251.0,227.0,265.0
2024-03-27,Los Angeles,209,0,205.0,234.0,185.0,263.0,211.0,207.0,217.0,197.0,219.0,264.0,251.0,227.0
2024-03-28,Los Angeles,180,0,209.0,205.0,234.0,185.0,263.0,211.0,207.0,217.0,197.0,219.0,264.0,251.0
2024-03-29,Los Angeles,236,0,180.0,209.0,205.0,234.0,185.0,263.0,211.0,207.0,217.0,197.0,219.0,264.0
2024-03-30,Los Angeles,281,0,236.0,180.0,209.0,205.0,234.0,185.0,263.0,211.0,207.0,217.0,197.0,219.0
2024-03-31,Los Angeles,201,0,281.0,236.0,180.0,209.0,205.0,234.0,185.0,263.0,211.0,207.0,217.0,197.0
2024-03-01,San Francisco,188,1,201.0,281.0,236.0,180.0,209.0,205.0,234.0,185.0,263.0,211.0,207.0,217.0
2024-03-02,San Francisco,209,1,188.0,201.0,281.0,236.0,180.0,209.0,205.0,234.0,185.0,263.0,211.0,207.0
2024-03-03,San Francisco,222,1,209.0,188.0,201.0,281.0,236.0,180.0,209.0,205.0,234.0,185.0,263.0,211.0
2024-03-04,San Francisco,166,1,222.0,209.0,188.0,201.0,281.0,236.0,180.0,209.0,205.0,234.0,185.0,263.0
2024-03-05,San Francisco,230,1,166.0,222.0,209.0,188.0,201.0,281.0,236.0,180.0,209.0,205.0,234.0,185.0
2024-03-06,San Francisco,171,1,230.0,166.0,222.0,209.0,188.0,201.0,281.0,236.0,180.0,209.0,205.0,234.0
2024-03-07,San Francisco,192,1,171.0,230.0,166.0,222.0,209.0,188.0,201.0,281.0,236.0,180.0,209.0,205.0
2024-03-08,San Francisco,183,1,192.0,171.0,230.0,166.0,222.0,209.0,188.0,201.0,281.0,236.0,180.0,209.0
2024-03-09,San Francisco,193,1,183.0,192.0,171.0,230.0,166.0,222.0,209.0,188.0,201.0,281.0,236.0,180.0
2024-03-10,San Francisco,182,1,193.0,183.0,192.0,171.0,230.0,166.0,222.0,209.0,188.0,201.0,281.0,236.0
2024-03-11,San Francisco,159,1,182.0,193.0,183.0,192.0,171.0,230.0,166.0,222.0,209.0,188.0,201.0,281.0
2024-03-12,San Francisco,230,1,159.0,182.0,193.0,183.0,192.0,171.0,230.0,166.0,222.0,209.0,188.0,201.0
2024-03-13,San Francisco,229,1,230.0,159.0,182.0,193.0,183.0,192.0,171.0,230.0,166.0,222.0,209.0,188.0
2024-03-14,San Francisco,223,1,229.0,230.0,159.0,182.0,193.0,183.0,192.0,171.0,230.0,166.0,222.0,209.0
2024-03-15,San Francisco,170,1,223.0,229.0,230.0,159.0,182.0,193.0,183.0,192.0,171.0,230.0,166.0,222.0
2024-03-16,San Francisco,151,1,170.0,223.0,229.0,230.0,159.0,182.0,193.0,183.0,192.0,171.0,230.0,166.0
2024-03-17,San Francisco,172,1,151.0,170.0,223.0,229.0,230.0,159.0,182.0,193.0,183.0,192.0,171.0,230.0
2024-03-18,San Francisco,225,1,172.0,151.0,170.0,223.0,229.0,230.0,159.0,182.0,193.0,183.0,192.0,171.0
2024-03-19,San Francisco,163,1,225.0,172.0,151.0,170.0,223.0,229.0,230.0,159.0,182.0,193.0,183.0,192.0
2024-03-20,San Francisco,203,1,163.0,225.0,172.0,151.0,170.0,223.0,229.0,230.0,159.0,182.0,193.0,183.0
2024-03-21,San Francisco,195,1,203.0,163.0,225.0,172.0,151.0,170.0,223.0,229.0,230.0,159.0,182.0,193.0
2024-03-22,San Francisco,172,1,195.0,203.0,163.0,225.0,172.0,151.0,170.0,223.0,229.0,230.0,159.0,182.0
2024-03-23,San Francisco,203,1,172.0,195.0,203.0,163.0,225.0,172.0,151.0,170.0,223.0,229.0,230.0,159.0
2024-03-24,San Francisco,164,1,203.0,172.0,195.0,203.0,163.0,225.0,172.0,151.0,170.0,223.0,229.0,230.0
2024-03-25,San Francisco,221,1,164.0,203.0,172.0,195.0,203.0,163.0,225.0,172.0,151.0,170.0,223.0,229.0
2024-03-26,San Francisco,150,1,221.0,164.0,203.0,172.0,195.0,203.0,163.0,225.0,172.0,151.0,170.0,223.0
2024-03-27,San Francisco,197,1,150.0,221.0,164.0,203.0,172.0,195.0,203.0,163.0,225.0,172.0,151.0,170.0
2024-03-28,San Francisco,149,1,197.0,150.0,221.0,164.0,203.0,172.0,195.0,203.0,163.0,225.0,172.0,151.0
2024-03-29,San Francisco,169,1,149.0,197.0,150.0,221.0,164.0,203.0,172.0,195.0,203.0,163.0,225.0,172.0
2024-03-30,San Francisco,172,1,169.0,149.0,197.0,150.0,221.0,164.0,203.0,172.0,195.0,203.0,163.0,225.0
2024-03-31,San Francisco,158,1,172.0,169.0,149.0,197.0,150.0,221.0,164.0,203.0,172.0,195.0,203.0,163.0
2024-02-01,Los Angeles,311,0,158.0,172.0,169.0,149.0,197.0,150.0,221.0,164.0,203.0,172.0,195.0,203.0
2024-02-02,Los Angeles,215,0,311.0,158.0,172.0,169.0,149.0,197.0,150.0,221.0,164.0,203.0,172.0,195.0
2024-02-03,Los Angeles,188,0,215.0,311.0,158.0,172.0,169.0,149.0,197.0,150.0,221.0,164.0,203.0,172.0
2024-02-04,Los Angeles,210,0,188.0,215.0,311.0,158.0,172.0,169.0,149.0,197.0,150.0,221.0,164.0,203.0
2024-02-05,Los Angeles,211,0,210.0,188.0,215.0,311.0,158.0,172.0,169.0,149.0,197.0,150.0,221.0,164.0
2024-02-06,Los Angeles,241,0,211.0,210.0,188.0,215.0,311.0,158.0,172.0,169.0,149.0,197.0,150.0,221.0
2024-02-07,Los Angeles,331,0,241.0,211.0,210.0,188.0,215.0,311.0,158.0,172.0,169.0,149.0,197.0,150.0
2024-02-08,Los Angeles,226,0,331.0,241.0,211.0,210.0,188.0,215.0,311.0,158.0,172.0,169.0,149.0,197.0
2024-02-09,Los Angeles,176,0,226.0,331.0,241.0,211.0,210.0,188.0,215.0,311.0,158.0,172.0,169.0,149.0
2024-02-10,Los Angeles,196,0,176.0,226.0,331.0,241.0,211.0,210.0,188.0,215.0,311.0,158.0,172.0,169.0
2024-02-11,Los Angeles,181,0,196.0,176.0,226.0,331.0,241.0,211.0,210.0,188.0,215.0,311.0,158.0,172.0
2024-02-12,Los Angeles,280,0,181.0,196.0,176.0,226.0,331.0,241.0,211.0,210.0,188.0,215.0,311.0,158.0
2024-02-13,Los Angeles,300,0,280.0,181.0,196.0,176.0,226.0,331.0,241.0,211.0,210.0,188.0,215.0,311.0
2024-02-14,Los Angeles,278,0,300.0,280.0,181.0,196.0,176.0,226.0,331.0,241.0,211.0,210.0,188.0,215.0
2024-02-15,Los Angeles,192,0,278.0,300.0,280.0,181.0,196.0,176.0,226.0,331.0,241.0,211.0,210.0,188.0
2024-02-16,Los Angeles,179,0,192.0,278.0,300.0,280.0,181.0,196.0,176.0,226.0,331.0,241.0,211.0,210.0
2024-02-17,Los Angeles,184,0,179.0,192.0,278.0,300.0,280.0,181.0,196.0,176.0,226.0,331.0,241.0,211.0
2024-02-18,Los Angeles,261,0,184.0,179.0,192.0,278.0,300.0,280.0,181.0,196.0,176.0,226.0,331.0,241.0
2024-02-19,Los Angeles,207,0,261.0,184.0,179.0,192.0,278.0,300.0,280.0,181.0,196.0,176.0,226.0,331.0
2024-02-20,Los Angeles,250,0,207.0,261.0,184.0,179.0,192.0,278.0,300.0,280.0,181.0,196.0,176.0,226.0
2024-02-21,Los Angeles,240,0,250.0,207.0,261.0,184.0,179.0,192.0,278.0,300.0,280.0,181.0,196.0,176.0
2024-02-22,Los Angeles,229,0,240.0,250.0,207.0,261.0,184.0,179.0,192.0,278.0,300.0,280.0,181.0,196.0
2024-02-23,Los Angeles,258,0,229.0,240.0,250.0,207.0,261.0,184.0,179.0,192.0,278.0,300.0,280.0,181.0
2024-02-24,Los Angeles,224,0,258.0,229.0,240.0,250.0,207.0,261.0,184.0,179.0,192.0,278.0,300.0,280.0
2024-02-25,Los Angeles,201,0,224.0,258.0,229.0,240.0,250.0,207.0,261.0,184.0,179.0,192.0,278.0,300.0
2024-02-26,Los Angeles,279,0,201.0,224.0,258.0,229.0,240.0,250.0,207.0,261.0,184.0,179.0,192.0,278.0
2024-02-27,Los Angeles,252,0,279.0,201.0,224.0,258.0,229.0,240.0,250.0,207.0,261.0,184.0,179.0,192.0
2024-02-28,Los Angeles,322,0,252.0,279.0,201.0,224.0,258.0,229.0,240.0,250.0,207.0,261.0,184.0,179.0
2024-02-29,Los Angeles,178,0,322.0,252.0,279.0,201.0,224.0,258.0,229.0,240.0,250.0,207.0,261.0,184.0
2024-02-01,San Francisco,240,1,178.0,322.0,252.0,279.0,201.0,224.0,258.0,229.0,240.0,250.0,207.0,261.0
2024-02-02,San Francisco,153,1,240.0,178.0,322.0,252.0,279.0,201.0,224.0,258.0,229.0,240.0,250.0,207.0
2024-02-03,San Francisco,228,1,153.0,240.0,178.0,322.0,252.0,279.0,201.0,224.0,258.0,229.0,240.0,250.0
2024-02-04,San Francisco,176,1,228.0,153.0,240.0,178.0,322.0,252.0,279.0,201.0,224.0,258.0,229.0,240.0
